issue_id,author,title,commenter_usernames,comment_count,unique_commenter_count,link,issue_post_date,last_comment_date
243,gemajpg,Unable to import h5 file from DLC,[],16,1,https://github.com/sgoldenlab/simba/issues/243,2023-04-03T17:39:00Z,
242,mrnels19,Unable to Create Project with Updated Version of SimBA,[],42,1,https://github.com/sgoldenlab/simba/issues/242,2023-03-28T17:54:53Z,
241,herbertzhengwu,Reorder Nodes using SLEAP Skeleton as input,[],7,1,https://github.com/sgoldenlab/simba/issues/241,2023-03-28T14:27:41Z,
240,klxxxx,No “tracking” option in the simba tool.,[],2,1,https://github.com/sgoldenlab/simba/issues/240,2023-03-27T08:46:42Z,
238,Lucas97223,ROI analysis for multiple body parts in features extracted,[],9,1,https://github.com/sgoldenlab/simba/issues/238,2023-03-23T12:09:43Z,
237,ayakab0619,question about pseudo labelling,[],3,1,https://github.com/sgoldenlab/simba/issues/237,2023-03-13T09:45:28Z,
236,Lucas97223,Impossible to extract features in Multi Animal Tracking,[],27,1,https://github.com/sgoldenlab/simba/issues/236,2023-03-08T16:30:52Z,
235,kylethieringer,Model Training Error,[],2,1,https://github.com/sgoldenlab/simba/issues/235,2023-03-02T06:32:58Z,
234,neuronerd17,"""ImportError: DLL load failed"" after install (on Windows 11)",[],10,1,https://github.com/sgoldenlab/simba/issues/234,2023-02-15T04:27:01Z,
232,mrnels19,Plotly Visualization Questions,[],4,1,https://github.com/sgoldenlab/simba/issues/232,2023-01-23T21:49:25Z,
230,mrnels19,Unable to Load Dash,[],1,1,https://github.com/sgoldenlab/simba/issues/230,2023-01-20T03:40:10Z,
229,urimons,How to improve f1-score?,[],8,1,https://github.com/sgoldenlab/simba/issues/229,2023-01-15T08:49:18Z,
228,CodyScholtens,importing .SLP files to SIMBA fails to cycle or open the window for identifying animals,[],0,1,https://github.com/sgoldenlab/simba/issues/228,2023-01-15T05:16:03Z,
227,colinyong,How to Interpret the Classification Report,[],3,1,https://github.com/sgoldenlab/simba/issues/227,2023-01-13T16:30:44Z,
226,mrnels19,Inaccurate sklearn Results,[],6,1,https://github.com/sgoldenlab/simba/issues/226,2023-01-06T06:04:39Z,
225,mrnels19,Error when Generating Project Config and Importing Videos,[],3,1,https://github.com/sgoldenlab/simba/issues/225,2023-01-03T03:46:01Z,
