,Feature_name,Feature_importance
437,Distance_mean_2_percentile_rank Importance,0.0
438,Distance_mean_5_percentile_rank Importance,0.0
439,Distance_mean_6_percentile_rank Importance,0.0
440,Distance_mean_7.5_percentile_rank Importance,0.0
441,Distance_mean_15_percentile_rank Importance,0.0
442,Tortuosity_Mouse1_2  Importance,0.0
443,Tortuosity_Mouse1_5  Importance,0.0
444,Tortuosity_Mouse1_6  Importance,0.0
445,Tortuosity_Mouse1_7.5 Importance,0.0
446,Tortuosity_Mouse1_15 Importance,0.0
447,Sum_probabilities    Importance,0.0
448,Sum_probabilities_deviation Importance,0.0
449,Sum_probabilities_deviation_percentile_rank Importance,0.0
450,Sum_probabilities_percentile_rank Importance,0.0
451,Low_prob_detections_0.1 Importance,0.0
452,Low_prob_detections_0.5 Importance,0.0
453,Low_prob_detections_0.75 Importance,0.0
